Thanasis Antetokounmpo,2020,27,MIL,NBA,SF,18,2,93,9.3,17.7,.528,0.0,3.4,.000,9.3,14.3,.655,3.4,7.4,.467,5.4,3.9,9.3,4.4,2.9,1.0,5.4,6.4,22.1,,99,101
Carmelo Anthony,2004,19,DEN,NBA,SF,82,82,2995,10.7,25.2,.426,1.2,3.7,.322,9.5,21.5,.444,7.0,9.0,.777,3.1,5.4,8.6,3.9,1.7,0.7,4.2,3.9,29.6,,102,105
Carmelo Anthony,2005,20,DEN,NBA,SF,75,75,2608,10.4,24.2,.431,0.8,3.1,.266,9.6,21.1,.455,9.0,11.3,.796,2.8,5.6,8.4,3.8,1.3,0.6,4.4,4.5,30.7,,103,107
Carmelo Anthony,2006,21,DEN,NBA,SF,80,80,2941,13.1,27.3,.481,0.6,2.6,.243,12.5,24.7,.506,10.0,12.3,.808,2.1,4.7,6.8,3.8,1.5,0.7,3.8,4.0,36.9,,110,108
Carmelo Anthony,2007,22,DEN,NBA,SF,65,65,2486,13.7,28.8,.476,0.8,3.0,.268,12.9,25.8,.499,9.1,11.3,.808,2.8,4.9,7.7,4.9,1.5,0.5,4.6,4.0,37.3,,109,108
Carmelo Anthony,2008,23,DEN,NBA,SF,77,77,2806,12.5,25.4,.492,1.0,2.8,.354,11.5,22.6,.509,8.0,10.1,.786,3.1,6.7,9.8,4.4,1.7,0.7,4.3,4.3,33.9,,109,107
Carmelo Anthony,2009,24,DEN,NBA,SF,66,66,2277,12.0,27.0,.443,1.4,3.8,.371,10.6,23.2,.455,8.3,10.5,.793,2.4,7.7,10.1,5.0,1.7,0.5,4.5,4.4,33.6,,105,107
Carmelo Anthony,2010,25,DEN,NBA,SF,69,69,2634,13.2,28.9,.458,1.1,3.6,.316,12.1,25.3,.478,9.8,11.8,.830,2.9,5.8,8.7,4.3,1.7,0.6,4.0,4.3,37.4,,110,109
Carmelo Anthony,2011,26,TOT,NBA,SF,77,77,2751,12.5,27.4,.455,1.7,4.6,.378,10.8,22.9,.470,9.3,11.0,.838,2.2,8.1,10.3,4.0,1.2,0.8,3.8,4.1,36.0,,109,108
Carmelo Anthony,2011,26,DEN,NBA,SF,50,50,1774,12.4,27.4,.452,1.2,3.6,.333,11.2,23.8,.470,9.7,11.8,.823,2.2,8.6,10.8,4.0,1.2,0.9,4.0,3.8,35.6,,107,107
