Jordan Bell,Jordan Bell,Memphis Grizzlies,2019,"$1,620,564"
DeAndre' Bembry,DeAndre' Bembry,Atlanta Hawks,2019,"$2,603,982"
Dragan Bender,Dragan Bender,Golden State Warriors,2019,"$189,702"
Dāvis Bertāns,Dāvis Bertāns,Washington Wizards,2019,"$7,000,000"
Patrick Beverley,Patrick Beverley,Los Angeles Clippers,2019,"$12,345,679"
Patrick Beverley,Patrick Beverley,Los Angeles Clippers,2020,"$13,333,333"
Patrick Beverley,Patrick Beverley,Los Angeles Clippers,2021,"$14,320,988"
Khem Birch,Khem Birch,Orlando Magic,2019,"$3,000,000"
Khem Birch,Khem Birch,Orlando Magic,2020,"$3,000,000"
Goga Bitadze,Goga Bitadze,Indiana Pacers,2019,"$2,816,760"
Goga Bitadze,Goga Bitadze,Indiana Pacers,2020,"$2,957,520"
Goga Bitadze,Goga Bitadze,Indiana Pacers,2021,"$3,098,400"
Goga Bitadze,Goga Bitadze,Indiana Pacers,2022,"$4,765,339"
Bismack Biyombo,Bismack Biyombo,Charlotte Hornets,2019,"$17,000,000"
Nemanja Bjelica,Nemanja Bjelica,Sacramento Kings,2019,"$6,825,000"
Nemanja Bjelica,Nemanja Bjelica,Sacramento Kings,2020,"$7,150,000"
Eric Bledsoe,Eric Bledsoe,Milwaukee Bucks,2019,"$15,625,000"
Eric Bledsoe,Eric Bledsoe,Milwaukee Bucks,2020,"$16,875,000"
Eric Bledsoe,Eric Bledsoe,Milwaukee Bucks,2021,"$18,125,000"
Eric Bledsoe,Eric Bledsoe,Milwaukee Bucks,2022,"$19,375,000"
Bogdan Bogdanović,Bogdan Bogdanović,Sacramento Kings,2019,"$8,529,386"
Bojan Bogdanović,Bojan Bogdanović,Utah Jazz,2019,"$17,000,000"
Bojan Bogdanović,Bojan Bogdanović,Utah Jazz,2020,"$17,850,000"
Bojan Bogdanović,Bojan Bogdanović,Utah Jazz,2021,"$18,700,000"
Bojan Bogdanović,Bojan Bogdanović,Utah Jazz,2022,"$19,550,000"
Jonah Bolden,Jonah Bolden,Philadelphia 76ers,2019,"$1,698,450"
Marques Bolden,Marques Bolden,Cleveland Cavaliers,2019,"$50,752"
Isaac Bonga,Isaac Bonga,Washington Wizards,2019,"$1,416,852"
Isaac Bonga,Isaac Bonga,Washington Wizards,2020,"$1,663,861"
Devin Booker,Devin Booker,Phoenix Suns,2019,"$27,250,000"
Devin Booker,Devin Booker,Phoenix Suns,2020,"$29,430,000"
Devin Booker,Devin Booker,Phoenix Suns,2021,"$31,610,000"
Devin Booker,Devin Booker,Phoenix Suns,2022,"$33,790,000"
Devin Booker,Devin Booker,Phoenix Suns,2023,"$35,970,000"
Chris Boucher,Chris Boucher,Toronto Raptors,2019,"$1,588,231"
Ky Bowman,Ky Bowman,Golden State Warriors,2019,"$350,189"
Ky Bowman,Ky Bowman,Golden State Warriors,2020,"$1,517,981"
Ky Bowman,Ky Bowman,Golden State Warriors,2021,"$1,782,621"
Avery Bradley,Avery Bradley,Los Angeles Lakers,2019,"$4,767,000"
Avery Bradley,Avery Bradley,Los Angeles Lakers,2020,"$5,005,350"
Tony Bradley,Tony Bradley,Utah Jazz,2019,"$1,962,360"
Tony Bradley,Tony Bradley,Utah Jazz,2020,"$3,542,060"
Ignas Brazdeikis,Ignas Brazdeikis,New York Knicks,2019,"$898,310"
Ignas Brazdeikis,Ignas Brazdeikis,New York Knicks,2020,"$1,517,981"
Ignas Brazdeikis,Ignas Brazdeikis,New York Knicks,2021,"$1,782,621"
Mikal Bridges,Mikal Bridges,Phoenix Suns,2019,"$4,161,000"
Mikal Bridges,Mikal Bridges,Phoenix Suns,2020,"$4,359,000"
Mikal Bridges,Mikal Bridges,Phoenix Suns,2021,"$5,557,725"
Miles Bridges,Miles Bridges,Charlotte Hornets,2019,"$3,755,400"
Miles Bridges,Miles Bridges,Charlotte Hornets,2020,"$3,934,320"
Miles Bridges,Miles Bridges,Charlotte Hornets,2021,"$5,421,493"
Ryan Broekhoff,Ryan Broekhoff,Dallas Mavericks,2019,"$1,443,842"
Malcolm Brogdon,Malcolm Brogdon,Indiana Pacers,2019,"$20,000,000"
Malcolm Brogdon,Malcolm Brogdon,Indiana Pacers,2020,"$20,700,000"
Malcolm Brogdon,Malcolm Brogdon,Indiana Pacers,2021,"$21,700,000"
Malcolm Brogdon,Malcolm Brogdon,Indiana Pacers,2022,"$22,600,000"
Dillon Brooks,Dillon Brooks,Memphis Grizzlies,2019,"$1,618,520"
Dillon Brooks,Dillon Brooks,Memphis Grizzlies,2020,"$11,400,000"
Dillon Brooks,Dillon Brooks,Memphis Grizzlies,2021,"$12,200,000"
Dillon Brooks,Dillon Brooks,Memphis Grizzlies,2022,"$11,400,000"
Bruce Brown,Bruce Brown,Detroit Pistons,2019,"$1,416,852"
Bruce Brown,Bruce Brown,Detroit Pistons,2020,"$1,663,861"
Jaylen Brown,Jaylen Brown,Boston Celtics,2019,"$6,534,829"
Jaylen Brown,Jaylen Brown,Boston Celtics,2020,"$22,991,071"
Jaylen Brown,Jaylen Brown,Boston Celtics,2021,"$24,830,357"
Jaylen Brown,Jaylen Brown,Boston Celtics,2022,"$26,669,643"
Jaylen Brown,Jaylen Brown,Boston Celtics,2023,"$28,508,929"
Sterling Brown,Sterling Brown,Milwaukee Bucks,2019,"$1,618,520"
Troy Brown Jr.,Troy Brown Jr.,Washington Wizards,2019,"$3,219,480"
Troy Brown Jr.,Troy Brown Jr.,Washington Wizards,2020,"$3,372,840"
Troy Brown Jr.,Troy Brown Jr.,Washington Wizards,2021,"$5,170,564"
Jalen Brunson,Jalen Brunson,Dallas Mavericks,2019,"$1,416,582"
Jalen Brunson,Jalen Brunson,Dallas Mavericks,2020,"$1,663,861"
Jalen Brunson,Jalen Brunson,Dallas Mavericks,2021,"$1,802,057"
Thomas Bryant,Thomas Bryant,Washington Wizards,2019,"$7,936,508"
Thomas Bryant,Thomas Bryant,Washington Wizards,2020,"$8,333,333"
Thomas Bryant,Thomas Bryant,Washington Wizards,2021,"$8,730,159"
Reggie Bullock,Reggie Bullock,New York Knicks,2019,"$4,000,000"
Reggie Bullock,Reggie Bullock,New York Knicks,2020,"$4,200,000"
Trey Burke,Trey Burke,Philadelphia 76ers,2019,"$2,028,594"
Alec Burks,Alec Burks,Philadelphia 76ers,2019,"$2,320,044"
