Trevor Ariza,per_poss.2016,30,HOU,NBA,SF,5,5,181,3.5,13.7,0.255,1.1,7.5,0.143,2.4,6.2,0.391,0.8,1.1,0.75,1.9,3.8,5.7,1.1,3.5,0.3,3.2,4.3,8.9,,63,110
Trevor Ariza,per_poss.2017,31,HOU,NBA,SF,11,11,413,4.9,11.7,0.423,2.8,7.4,0.377,2.2,4.3,0.5,1.6,1.7,0.929,1,5.8,6.8,2.8,1.7,0.2,1.1,3,14.2,,118,111
Trevor Ariza,per_poss.2018,32,HOU,NBA,SF,17,17,582,4.3,12,0.36,2.2,7.8,0.286,2.1,4.1,0.5,2,2.7,0.742,0.8,4.8,5.6,1.9,1.6,0.2,0.9,3.8,12.8,,103,110
D.J. Augustin,per_poss.2010,22,CHA,NBA,PG,4,0,73,3.9,13.1,0.294,1.5,4.6,0.333,2.3,8.5,0.273,3.9,4.6,0.833,0.8,2.3,3.1,5.4,0.8,0.8,3.1,3.1,13.1,,88,116
D.J. Augustin,per_poss.2013,25,IND,NBA,PG,19,1,316,4.7,12.4,0.38,3.3,8.3,0.396,1.4,4,0.348,4.3,5.4,0.806,0.3,2.3,2.6,2.3,1.2,0,1.7,4.5,17,,118,109
D.J. Augustin,per_poss.2014,26,CHI,NBA,PG,5,0,141,8.4,28.6,0.292,2.8,10.3,0.269,5.6,18.3,0.304,6.8,7.6,0.895,1.6,1.6,3.2,9.5,1.2,0,3.6,6.4,26.3,,94,113
D.J. Augustin,per_poss.2019,31,ORL,NBA,PG,5,5,141,7.1,14.6,0.488,3.6,7.5,0.476,3.6,7.1,0.5,5,5.7,0.875,0.4,2.5,2.8,6.8,0.7,0.4,2.5,2.5,22.8,,126,116
Wade Baldwin,per_poss.2017,20,MEM,NBA,PG,3,0,12,0,4.7,0,0,0,,0,4.7,0,9.3,9.3,1,4.7,14,18.6,9.3,0,0,0,14,9.3,,159,118
Wade Baldwin,per_poss.2018,21,POR,NBA,PG,4,0,19,2.6,10.2,0.25,2.6,2.6,1,0,7.7,0,2.6,5.1,0.5,0,7.7,7.7,7.7,2.6,2.6,7.7,2.6,10.2,,68,111
J.J. Barea,per_poss.2007,22,DAL,NBA,PG,2,0,4,0,0,,0,0,,0,0,,0,25.7,0,0,0,0,0,0,0,0,0,0,,0,123
J.J. Barea,per_poss.2008,23,DAL,NBA,PG,1,0,5,33.1,44.1,0.75,22.1,22.1,1,11,22.1,0.5,0,0,,0,0,0,11,0,0,0,11,88.3,,184,125
J.J. Barea,per_poss.2009,24,DAL,NBA,SG,10,4,221,7.5,17.1,0.437,1.2,3.9,0.313,6.3,13.3,0.473,2.2,3.1,0.692,0.7,4.1,4.8,8.2,0.7,0,1.4,3.1,18.4,,113,118
J.J. Barea,per_poss.2010,25,DAL,NBA,PG,6,0,105,7.8,19.1,0.405,2.1,5.2,0.4,5.7,14,0.407,0.5,1.6,0.333,2.1,4.1,6.2,7.8,1,0.5,5.2,6.7,18.1,,89,109
J.J. Barea,per_poss.2011,26,DAL,NBA,PG,21,3,390,10.2,24.4,0.419,2.3,7.1,0.32,8,17.3,0.459,3.8,4.8,0.794,1.1,4.4,5.5,10.1,0.9,0,3.3,4,26.6,,107,111
J.J. Barea,per_poss.2015,30,DAL,NBA,PG,5,2,154,7.6,17.4,0.439,1.2,4.9,0.25,6.4,12.5,0.512,1.5,1.8,0.833,1.5,5.8,7.3,11.3,1.2,0,4.3,5.2,18,,103,114
J.J. Barea,per_poss.2016,31,DAL,NBA,PG,4,2,100,5.7,17.8,0.324,0.5,4.2,0.125,5.2,13.6,0.385,1,1,1,0,3.1,3.1,10.5,0,0,5.7,4.2,13.1,,73,128
Harrison Barnes,per_poss.2013,20,GSW,NBA,SF,12,12,461,8,17.9,0.444,2.1,5.8,0.365,5.9,12.2,0.482,3.3,3.9,0.857,2,6.5,8.5,1.7,0.8,0.6,1.8,3.7,21.4,,111,108
Harrison Barnes,per_poss.2014,21,GSW,NBA,SF,7,0,156,6.1,15.3,0.396,2.5,6.7,0.381,3.5,8.6,0.407,2.9,5.1,0.563,2.2,6.7,8.9,2.5,0.3,1,1.6,4.1,17.5,,107,117
Harrison Barnes,per_poss.2015,22,GSW,NBA,SF,21,21,681,6.6,15.1,0.44,1.7,4.7,0.355,5,10.4,0.478,1.9,2.6,0.735,3.4,4.9,8.3,2.4,1.3,0.8,1.7,3.4,16.8,,109,104
Harrison Barnes,per_poss.2016,23,GSW,NBA,SF,24,23,743,5.5,14.2,0.385,1.7,5.1,0.342,3.7,9.1,0.409,1.7,2.3,0.765,1.8,5.7,7.5,2,1.1,0.3,1.2,3.1,14.4,,101,109
Will Barton,per_poss.2014,23,POR,NBA,SG,7,0,81,10.6,21.3,0.5,3.8,6.9,0.545,6.9,14.4,0.478,3.1,3.8,0.833,3.1,4.4,7.5,1.9,0.6,1.3,3.8,4.4,28.2,,113,117
Will Barton,per_poss.2019,28,DEN,NBA,SF,14,3,328,7.4,21.3,0.348,2.4,8.7,0.273,5.1,12.6,0.4,2.8,4.1,0.692,2.4,8.2,10.6,3.8,0.6,1.4,2.1,3,20.1,,95,113
Nicolas Batum,per_poss.2009,20,POR,NBA,SF,6,5,63,4.5,8.2,0.556,1.8,3.6,0.5,2.7,4.5,0.6,0,0,,0.9,1.8,2.7,0.9,0.9,1.8,2.7,6.4,10.9,,101,114
Nicolas Batum,per_poss.2010,21,POR,NBA,SF,6,6,139,6.7,14.6,0.459,3.6,8.3,0.429,3.2,6.3,0.5,2.4,3.2,0.75,1.6,5.9,7.5,2,0.8,0,1.6,5.1,19.4,,118,121
Nicolas Batum,per_poss.2011,22,POR,NBA,SF,6,0,151,7.3,17.6,0.413,2.7,10,0.269,4.6,7.7,0.6,1.1,1.5,0.75,0.4,3.4,3.8,3.1,1.9,1.9,2.7,5.4,18.4,,95,113
Nicolas Batum,per_poss.2014,25,POR,NBA,SF,11,11,459,7.4,15.7,0.472,2.3,6.6,0.35,5.1,9.1,0.561,1.3,1.7,0.8,1.1,8.2,9.3,5.9,1.5,0.6,3.1,2.3,18.5,,109,113
Nicolas Batum,per_poss.2015,26,POR,NBA,SF,5,5,209,6,17.5,0.343,3.2,9.7,0.333,2.7,7.7,0.355,2.5,3.2,0.769,1.5,9.2,10.7,6.5,0.2,0.2,3,2.7,17.7,,97,111
Nicolas Batum,per_poss.2016,27,CHO,NBA,SF,5,2,144,6.2,16.5,0.378,2.2,8.1,0.273,4,8.4,0.478,6.2,7.3,0.85,0.7,5.9,6.6,3.7,0.7,0,2.9,2.2,20.9,,100,112
Jerryd Bayless,per_poss.2009,20,POR,NBA,PG,2,0,11,10.4,31.2,0.333,0,5.2,0,10.4,26,0.4,10.4,15.6,0.667,0,5.2,5.2,0,0,5.2,5.2,0,31.2,,77,110
Jerryd Bayless,per_poss.2010,21,POR,NBA,SG,6,2,166,9.3,21.5,0.431,2,5,0.4,7.3,16.6,0.44,6.3,7.9,0.792,1.3,4,5.3,7.6,0.7,0,2.6,7,26.8,,112,122
Jerryd Bayless,per_poss.2013,24,MEM,NBA,PG,15,0,320,8.3,23.3,0.358,3.1,10,0.305,5.3,13.2,0.397,3.9,4.4,0.885,0.2,4.9,5.1,5.4,1.2,0.8,2.7,5.9,23.6,,97,107
Jerryd Bayless,per_poss.2015,26,MIL,NBA,PG,6,0,120,5.2,15,0.343,0.9,3,0.286,4.3,12,0.357,5.6,7.3,0.765,1.7,4.7,6.4,7.7,0.9,0.9,1.7,5.2,16.8,,104,110
Jerryd Bayless,per_poss.2018,29,PHI,NBA,SG,1,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,,115
Aron Baynes,per_poss.2013,26,SAS,NBA,C,4,1,23,9.3,16.3,0.571,0,0,,9.3,16.3,0.571,0,0,,4.7,7,11.6,0,0,0,2.3,9.3,18.6,,107,106
