Cole Aldrich,2017,28,MIN,NBA,C,62,531,,,,26%,74%,-1.6,-0.6,0,6,35,7,10,2,59,3,7
Cole Aldrich,2018,29,MIN,NBA,C,21,49,,,,,100%,-2,-4.6,0,0,2,1,2,0,7,0,1
LaMarcus Aldridge,2007,21,POR,NBA,C,63,1392,,,,1%,99%,-1.8,4.9,10,9,107,13,54,9,59,13,22
LaMarcus Aldridge,2008,22,POR,NBA,PF,76,2649,,,,73%,27%,-0.3,2.9,22,46,123,37,144,13,294,29,46
LaMarcus Aldridge,2009,23,POR,NBA,PF,81,3004,,,,82%,18%,8.8,10.2,27,42,113,34,156,3,398,33,51
LaMarcus Aldridge,2010,24,POR,NBA,PF,78,2922,,,,88%,12%,4.9,3.6,31,27,129,30,144,12,370,38,42
LaMarcus Aldridge,2011,25,POR,NBA,PF,81,3211,,,,51%,50%,4.5,15,35,64,139,19,196,11,411,46,54
LaMarcus Aldridge,2012,26,POR,NBA,PF,55,1994,,,,68%,33%,3.5,12.4,22,52,88,21,125,6,340,30,28
LaMarcus Aldridge,2013,27,POR,NBA,PF,74,2790,,,,84%,16%,-0.8,9.4,38,54,112,30,165,10,474,38,35
LaMarcus Aldridge,2014,28,POR,NBA,PF,69,2498,,,,89%,11%,7.2,8.9,33,39,80,28,153,1,446,37,41
LaMarcus Aldridge,2015,29,POR,NBA,PF,71,2512,,,,91%,9%,5.9,4.6,33,55,70,20,160,3,308,35,37
LaMarcus Aldridge,2016,30,SAS,NBA,PF,74,2261,,,,54%,46%,11.6,0.1,34,32,91,12,144,5,261,27,37
LaMarcus Aldridge,2017,31,SAS,NBA,PF,72,2335,,,,69%,31%,5.8,-5,33,34,94,15,110,4,345,17,32
LaMarcus Aldridge,2018,32,SAS,NBA,C,75,2509,,,,38%,62%,5.5,6.7,34,35,95,18,178,3,373,51,44
LaMarcus Aldridge,2019,33,SAS,NBA,C,81,2687,,,,5%,95%,1.5,-1.8,28,55,102,39,183,5,459,49,45
LaMarcus Aldridge,2020,34,SAS,NBA,C,53,1754,,,,6%,94%,-3.8,-4.7,13,20,70,29,83,1,309,23,20
Nickeil Alexander-Walker,2020,21,NOP,NBA,SG,41,501,2%,45%,50%,4%,,-5.5,-5.4,27,6,27,2,14,11,175,2,18
Rawle Alkins,2019,21,CHI,NBA,SG,10,120,,11%,85%,4%,,-7.1,1.5,1,4,5,0,6,0,31,2,4
Grayson Allen,2019,23,UTA,NBA,SG,38,416,38%,57%,5%,,,-11.8,-19.2,12,5,25,5,20,4,58,3,6
Grayson Allen,2020,24,MEM,NBA,SG,30,498,1%,78%,22%,,,-5.9,-6.3,14,5,24,1,17,5,104,4,8
Jarrett Allen,2018,19,BRK,NBA,C,72,1441,,,,2%,98%,-4.1,-0.3,28,22,90,23,69,1,122,11,39
Jarrett Allen,2019,20,BRK,NBA,C,80,2096,,,,,100%,-2.5,-5,38,26,112,26,125,11,283,22,48
Jarrett Allen,2020,21,BRK,NBA,C,64,1647,,,,,100%,0.6,2.9,18,16,85,24,101,6,212,27,40
Kadeem Allen,2018,25,BOS,NBA,PG,18,107,69%,32%,,,,-5.6,-9.5,5,1,7,3,3,1,27,1,1
Kadeem Allen,2019,26,NYK,NBA,SG,19,416,71%,29%,1%,,,-3.6,6.3,13,6,24,3,22,7,187,1,6
Kadeem Allen,2020,27,NYK,NBA,SG,10,117,83%,15%,2%,,,-10.5,-4.3,2,2,2,1,2,1,51,1,2
Lavoy Allen,2012,22,PHI,NBA,PF,41,624,,,,64%,36%,6.3,1.9,11,2,47,3,7,2,72,2,10
Lavoy Allen,2013,23,PHI,NBA,C,79,1669,,,,28%,72%,-2.8,1.4,16,18,105,18,27,4,159,4,20
Lavoy Allen,2014,24,TOT,NBA,PF,65,1072,,,,60%,40%,-8.8,-6.5,20,9,74,13,16,2,168,2,11
Lavoy Allen,2014,24,PHI,NBA,PF,51,960,,,1%,67%,33%,-9.1,2.1,19,8,67,12,15,1,152,2,9
Lavoy Allen,2014,24,IND,NBA,PF,14,112,,,,,100%,-6.5,-11.6,1,1,7,1,1,1,16,0,2
Lavoy Allen,2015,25,IND,NBA,C,63,1070,,,,32%,68%,4.5,6.1,18,9,58,8,17,2,169,4,10
