Alexis Ajinça,2010,21,CHA,NBA,C,6,30,0.5,8.4,1,0.4,0.2,0.1,0.3,0,0.5,1,0,0,0.333,,0.8,0.1,1,,,,0,0
Alexis Ajinça,2011,22,TOT,NBA,C,34,340,0.444,15.5,0.744,0.233,0.068,0.068,0.376,0.256,0.475,0.677,0.556,0.222,0.38,0.353,0.66,0.09,9,1,0.059,1,0,0
Alexis Ajinça,2011,22,DAL,NBA,C,10,75,0.375,14.8,0.781,0.125,0.125,0.219,0.313,0.219,0.36,0.5,0.5,0.286,0.3,0.429,0.556,0.031,0,1,0.286,1,0,0
Alexis Ajinça,2011,22,TOR,NBA,C,24,265,0.465,15.7,0.733,0.267,0.05,0.02,0.396,0.267,0.514,0.704,0.6,0,0.4,0.333,0.684,0.109,9,1,0,,0,0
Alexis Ajinça,2014,25,NOP,NBA,C,56,951,0.546,6.8,0.996,0.494,0.197,0.181,0.129,0.004,0.548,0.642,0.388,0.467,0.531,0,0.706,0.213,46,,0,,0,0
Alexis Ajinça,2015,26,NOP,NBA,C,68,957,0.55,7.2,1,0.34,0.353,0.198,0.106,0,0.55,0.616,0.552,0.508,0.429,,0.613,0.088,28,,,,0,0
Alexis Ajinça,2016,27,NOP,NBA,C,59,861,0.476,9.4,0.997,0.283,0.257,0.108,0.346,0.003,0.478,0.674,0.346,0.324,0.468,0,0.767,0.098,27,,0,,0,0
Alexis Ajinça,2017,28,NOP,NBA,C,39,584,0.5,9,0.978,0.348,0.253,0.107,0.27,0.022,0.511,0.71,0.378,0.579,0.354,0,0.82,0.129,20,,0,,0,0
DeVaughn Akoon-Purcell,2019,25,DEN,NBA,SG,7,22,0.3,12.9,0.6,0.5,0,0,0.1,0.4,0.5,0.6,,,0,0,0.667,0.1,1,,0.25,0,0,0
Cole Aldrich,2011,22,OKC,NBA,C,18,142,0.533,3.8,1,0.4,0.6,0,0,0,0.533,1,0.222,,,,0.375,0.333,5,,,,0,0
Cole Aldrich,2012,23,OKC,NBA,C,26,173,0.524,3.6,1,0.548,0.429,0.024,0,0,0.524,0.696,0.333,0,,,0.773,0.333,13,,,,0,0
Cole Aldrich,2013,24,TOT,NBA,C,45,388,0.55,3.7,1,0.55,0.438,0.013,0,0,0.55,0.682,0.371,1,,,0.636,0.25,16,,,,0,0
Cole Aldrich,2013,24,HOU,NBA,C,30,213,0.535,4.2,1,0.512,0.465,0.023,0,0,0.535,0.636,0.4,1,,,0.783,0.256,8,,,,0,0
Cole Aldrich,2013,24,SAC,NBA,C,15,175,0.568,3,1,0.595,0.405,0,0,0,0.568,0.727,0.333,,,,0.476,0.243,8,,,,0,0
Cole Aldrich,2014,25,NYK,NBA,C,46,330,0.541,3.4,1,0.492,0.508,0,0,0,0.541,0.633,0.452,,,,0.545,0.131,7,,,,0,0
Cole Aldrich,2015,26,NYK,NBA,C,61,976,0.478,4.7,1,0.349,0.571,0.06,0.007,0,0.478,0.695,0.366,0.333,0,,0.653,0.093,26,,,,0,0
Cole Aldrich,2016,27,LAC,NBA,C,60,800,0.596,2.8,1,0.56,0.427,0.013,0,0,0.596,0.667,0.521,0,,,0.776,0.093,17,,,,0,0
Cole Aldrich,2017,28,MIN,NBA,C,62,531,0.523,3,1,0.581,0.407,0.012,0,0,0.523,0.64,0.371,0,,,0.733,0.128,11,,,,0,0
Cole Aldrich,2018,29,MIN,NBA,C,21,49,0.333,3.2,1,0.533,0.467,0,0,0,0.333,0.25,0.429,,,,0.8,0.067,1,,,,0,0
LaMarcus Aldridge,2007,21,POR,NBA,C,63,1392,0.503,9.3,0.996,0.367,0.129,0.194,0.305,0.004,0.505,0.71,0.484,0.312,0.39,0,0.68,0.121,52,,0,,0,0
LaMarcus Aldridge,2008,22,POR,NBA,PF,76,2649,0.484,10.9,0.994,0.197,0.272,0.218,0.308,0.006,0.486,0.693,0.463,0.443,0.403,0.143,0.645,0.079,86,1,0.143,0,2,0
LaMarcus Aldridge,2009,23,POR,NBA,PF,81,3004,0.484,11,0.977,0.245,0.211,0.179,0.343,0.023,0.489,0.671,0.45,0.422,0.418,0.25,0.567,0.098,108,1,0.643,0.389,3,0
LaMarcus Aldridge,2010,24,POR,NBA,PF,78,2922,0.495,10.8,0.986,0.247,0.215,0.21,0.314,0.014,0.498,0.716,0.442,0.431,0.409,0.313,0.57,0.078,87,1,0.375,0.667,3,0
LaMarcus Aldridge,2011,25,POR,NBA,PF,81,3211,0.5,9.3,0.984,0.32,0.271,0.155,0.238,0.016,0.505,0.704,0.397,0.402,0.427,0.174,0.546,0.117,148,0.75,0.217,0,4,0
LaMarcus Aldridge,2012,26,POR,NBA,PF,55,1994,0.512,10.6,0.988,0.281,0.182,0.205,0.32,0.012,0.516,0.687,0.523,0.404,0.434,0.182,0.536,0.062,54,0.5,0.364,0,1,0
LaMarcus Aldridge,2013,27,POR,NBA,PF,74,2790,0.484,11.7,0.989,0.215,0.192,0.197,0.385,0.011,0.488,0.694,0.447,0.438,0.418,0.143,0.542,0.047,56,0.5,0.286,0.25,1,0
LaMarcus Aldridge,2014,28,POR,NBA,PF,69,2498,0.458,12.5,0.989,0.186,0.162,0.226,0.415,0.011,0.461,0.675,0.364,0.388,0.442,0.2,0.599,0.027,36,0.667,0.067,0,1,0
LaMarcus Aldridge,2015,29,POR,NBA,PF,71,2512,0.466,12.8,0.926,0.192,0.164,0.206,0.365,0.074,0.475,0.701,0.448,0.392,0.415,0.352,0.468,0.02,27,0.919,0.295,0.355,1,0
LaMarcus Aldridge,2016,30,SAS,NBA,PF,74,2261,0.513,10,0.985,0.279,0.191,0.211,0.303,0.015,0.521,0.733,0.465,0.427,0.426,0,0.66,0.047,47,,0.5,0,0,0
LaMarcus Aldridge,2017,31,SAS,NBA,PF,72,2335,0.477,11.8,0.947,0.222,0.194,0.202,0.328,0.053,0.48,0.7,0.422,0.387,0.424,0.411,0.577,0.041,37,0.957,0.411,0.435,0,0
LaMarcus Aldridge,2018,32,SAS,NBA,C,75,2509,0.51,9.8,0.932,0.275,0.212,0.256,0.189,0.068,0.526,0.735,0.446,0.438,0.431,0.293,0.502,0.036,46,0.963,0.163,0.467,1,0
LaMarcus Aldridge,2019,33,SAS,NBA,C,81,2687,0.519,9.7,0.968,0.27,0.246,0.252,0.201,0.032,0.528,0.716,0.485,0.437,0.442,0.238,0.588,0.042,51,0.9,0.095,0.25,0,0
LaMarcus Aldridge,2020,34,SAS,NBA,C,53,1754,0.493,13.7,0.802,0.202,0.129,0.227,0.245,0.198,0.519,0.719,0.471,0.461,0.433,0.389,0.567,0.044,31,0.951,0.185,0.379,1,0
Nickeil Alexander-Walker,2020,21,NOP,NBA,SG,41,501,0.339,16.3,0.485,0.229,0.172,0.057,0.026,0.515,0.336,0.462,0.205,0.231,0.333,0.342,0.135,0.004,1,0.9,0.188,0.364,4,0
Rawle Alkins,2019,21,CHI,NBA,SG,10,120,0.333,10.1,0.692,0.385,0.282,0.026,0,0.308,0.37,0.533,0.182,0,,0.25,0.7,0.026,1,1,0.333,0.5,0,0
