Ryan Anderson,pbp.2017,28,HOU,NBA,PF,11,336,,,,81%,19%,-0.2,-5,1,5,10,2,8,1,17,0,2
Ryan Anderson,pbp.2018,29,HOU,NBA,PF,11,95,,,,61%,39%,-28.2,-34.1,3,0,5,0,0,0,15,0,2
Giannis Antetokounmpo,pbp.2015,20,MIL,NBA,SG,6,201,,50%,33%,17%,,-11.7,1.6,2,4,7,3,12,0,33,3,6
Giannis Antetokounmpo,pbp.2017,22,MIL,NBA,SF,6,243,,,14%,85%,1%,0.4,11.8,10,4,9,4,22,0,60,6,9
Giannis Antetokounmpo,pbp.2018,23,MIL,NBA,PF,7,280,,,,74%,26%,-0.4,-4.7,10,3,12,2,26,1,106,7,5
Giannis Antetokounmpo,pbp.2019,24,MIL,NBA,PF,15,514,,,,57%,43%,9.9,1.9,14,18,16,9,81,2,194,22,19
Carmelo Anthony,pbp.2004,19,DEN,NBA,SF,4,143,,,97%,3%,,-10.1,-14,4,5,3,3,7,,23,1,4
Carmelo Anthony,pbp.2005,20,DEN,NBA,SF,5,180,,,93%,6%,,-10.7,0.3,3,2,6,7,11,,23,2,13
Carmelo Anthony,pbp.2006,21,DEN,NBA,SF,5,193,,,88%,12%,,-2.7,31.7,4,3,3,4,18,1,30,2,7
Carmelo Anthony,pbp.2007,22,DEN,NBA,SF,5,210,,10%,89%,1%,,-5.9,6.4,7,2,0,7,13,0,14,2,4
Carmelo Anthony,pbp.2008,23,DEN,NBA,SF,4,146,,41%,59%,,,-17.6,-16.4,4,4,5,3,12,1,18,1,7
Carmelo Anthony,pbp.2009,24,DEN,NBA,SF,16,612,,3%,96%,1%,,10.2,3.2,14,11,24,8,60,6,143,12,25
Carmelo Anthony,pbp.2010,25,DEN,NBA,SF,6,254,,,89%,11%,,2.6,36.4,2,8,7,8,25,0,50,3,11
Carmelo Anthony,pbp.2011,26,NYK,NBA,SF,4,156,,8%,85%,8%,,-14.4,-25.9,6,4,6,2,13,0,42,5,7
Carmelo Anthony,pbp.2012,27,NYK,NBA,SF,5,204,,1%,83%,15%,,-17.3,-6.3,5,5,13,3,18,1,27,4,7
Carmelo Anthony,pbp.2013,28,NYK,NBA,PF,12,481,,,17%,83%,,0.9,-13.9,4,10,13,13,38,5,49,7,16
Carmelo Anthony,pbp.2018,33,OKC,NBA,PF,6,194,,,,80%,20%,-15.7,-33.4,4,1,9,1,5,0,5,0,1
OG Anunoby,pbp.2018,20,TOR,NBA,SF,10,238,,,67%,33%,,-4.6,-0.7,3,2,10,1,5,2,18,0,2
Trevor Ariza,pbp.2007,21,ORL,NBA,SG,4,47,,46%,54%,,,-15,-5.9,1,2,3,1,2,0,10,0,2
Trevor Ariza,pbp.2008,22,LAL,NBA,SF,8,45,,1%,82%,17%,,-21.6,-25.1,0,1,3,0,1,0,2,0,0
Trevor Ariza,pbp.2009,23,LAL,NBA,SF,23,722,,1%,98%,1%,,7.7,-0.1,22,9,24,4,29,9,120,5,11
Trevor Ariza,pbp.2011,25,NOH,NBA,SF,6,241,,,98%,2%,,-8.6,1.1,2,1,5,1,9,1,44,4,4
Trevor Ariza,pbp.2014,28,WAS,NBA,SF,11,407,,,99%,1%,,2.7,7.9,11,2,8,1,8,3,42,1,4
Trevor Ariza,pbp.2015,29,HOU,NBA,SF,17,655,,,83%,17%,,-0.2,8.2,10,7,19,4,15,3,102,3,6
Trevor Ariza,pbp.2016,30,HOU,NBA,SF,5,181,,,80%,20%,,-24.5,-19.4,5,4,2,3,2,0,10,1,1
Trevor Ariza,pbp.2017,31,HOU,NBA,SF,11,413,,,44%,57%,,-1.3,-13.6,6,3,12,0,6,1,57,4,9
Trevor Ariza,pbp.2018,32,HOU,NBA,SF,17,582,,,70%,30%,,7.1,17.9,3,3,14,1,11,3,58,1,5
D.J. Augustin,pbp.2010,22,CHA,NBA,PG,4,73,100%,,,,,5,25.1,4,0,1,0,2,0,17,1,2
D.J. Augustin,pbp.2013,25,IND,NBA,PG,19,316,100%,,,,,-16.6,-26.1,6,2,9,1,3,5,27,0,9
D.J. Augustin,pbp.2014,26,CHI,NBA,PG,5,141,100%,,,,,4.6,23.2,3,5,6,0,7,1,53,2,9
D.J. Augustin,pbp.2019,31,ORL,NBA,PG,5,141,100%,,,,,-24.2,-21.1,1,4,3,1,6,0,45,0,6
Wade Baldwin,pbp.2017,20,MEM,NBA,PG,3,12,100%,,,,,-39.1,-30.9,0,0,1,0,1,0,4,0,1
Wade Baldwin,pbp.2018,21,POR,NBA,PG,4,19,18%,82%,,,,14.2,26.4,2,1,1,0,0,0,6,0,1
J.J. Barea,pbp.2007,22,DAL,NBA,PG,2,4,100%,,,,,7.1,14.7,0,0,0,0,1,1,0,0,0
J.J. Barea,pbp.2008,23,DAL,NBA,PG,1,5,100%,,,,,-23.3,-13.3,0,0,0,0,0,0,3,0,1
J.J. Barea,pbp.2009,24,DAL,NBA,SG,10,221,39%,61%,,,,7.1,14.6,5,1,6,0,6,4,82,1,5
J.J. Barea,pbp.2010,25,DAL,NBA,PG,6,105,96%,4%,,,,-4.1,-5.7,1,4,5,2,1,3,36,0,2
J.J. Barea,pbp.2011,26,DAL,NBA,PG,21,390,100%,,,,,-1.8,-14.5,15,6,12,2,10,5,170,3,18
J.J. Barea,pbp.2015,30,DAL,NBA,PG,5,154,100%,,,,,7.4,35.3,9,2,4,2,2,3,87,0,4
J.J. Barea,pbp.2016,31,DAL,NBA,PG,4,100,100%,,,,,-19,1.4,8,2,3,1,0,2,45,0,2
Harrison Barnes,pbp.2013,20,GSW,NBA,SF,12,461,,,36%,60%,4%,2.6,10,4,6,12,5,16,2,35,1,6
Harrison Barnes,pbp.2014,21,GSW,NBA,SF,7,156,,,20%,54%,26%,2.7,11.6,1,3,5,0,4,0,19,0,2
Harrison Barnes,pbp.2015,22,GSW,NBA,SF,21,681,,,43%,57%,1%,8.8,1.4,7,11,19,3,18,2,82,5,7
Harrison Barnes,pbp.2016,23,GSW,NBA,SF,24,743,,,37%,61%,2%,3.6,-2.9,8,8,24,1,17,3,73,4,12
Will Barton,pbp.2014,23,POR,NBA,SG,7,81,7%,72%,21%,,,-16.3,-11.3,3,2,3,1,2,0,6,0,0
Will Barton,pbp.2019,28,DEN,NBA,SF,14,328,,3%,93%,4%,,-8.6,-20.8,6,3,10,2,12,0,54,0,10
Nicolas Batum,pbp.2009,20,POR,NBA,SF,6,63,,,100%,,,-23.6,-22.1,3,0,3,0,0,0,3,0,0
Nicolas Batum,pbp.2010,21,POR,NBA,SF,6,139,,6%,94%,,,-5.6,12.5,2,1,2,1,3,0,12,0,3
Nicolas Batum,pbp.2011,22,POR,NBA,SF,6,151,,7%,77%,16%,,-9.7,-6.7,2,3,4,2,2,1,17,0,3
Nicolas Batum,pbp.2014,25,POR,NBA,SF,11,459,,1%,90%,9%,,-3.8,19,15,10,7,2,6,1,121,3,2
Nicolas Batum,pbp.2015,26,POR,NBA,SF,5,209,,,99%,1%,,-8.6,10.7,8,4,3,0,3,0,65,0,4
Nicolas Batum,pbp.2016,27,CHO,NBA,SF,5,144,,5%,96%,,,-31,-35.7,4,3,2,0,9,0,21,1,1
Jerryd Bayless,pbp.2009,20,POR,NBA,PG,2,11,40%,60%,,,,10.1,16.9,0,1,0,0,1,0,0,1,0
Jerryd Bayless,pbp.2010,21,POR,NBA,SG,6,166,38%,62%,,,,-10.9,3.1,3,3,3,2,9,3,54,3,7
Jerryd Bayless,pbp.2013,24,MEM,NBA,PG,15,320,13%,86%,1%,,,-7.6,-15.6,10,4,15,1,8,0,72,2,6
Jerryd Bayless,pbp.2015,26,MIL,NBA,PG,6,120,86%,4%,10%,,,-4.9,12.1,2,1,6,1,6,1,43,1,2
Jerryd Bayless,pbp.2018,29,PHI,NBA,SG,1,2,,100%,,,,8.3,5.5,0,0,0,0,0,0,0,0,0
Aron Baynes,pbp.2013,26,SAS,NBA,C,4,23,,,,52%,49%,38.2,31.5,0,1,2,0,0,1,0,0,1
Aron Baynes,pbp.2014,27,SAS,NBA,C,14,101,,,,2%,98%,23.1,14.3,2,2,10,2,3,0,0,0,2
Aron Baynes,pbp.2015,28,SAS,NBA,C,4,40,,,,25%,75%,-5.8,-7.5,0,1,1,1,2,0,2,1,2
Aron Baynes,pbp.2016,29,DET,NBA,C,4,44,,,,,100%,-35.8,-33.7,1,0,2,1,1,0,5,1,2
Aron Baynes,pbp.2018,31,BOS,NBA,C,19,389,,,,5%,95%,-2.5,-5.6,6,0,23,1,7,2,47,0,8
Aron Baynes,pbp.2019,32,BOS,NBA,C,9,115,,,,,100%,-16.8,-19.2,1,0,14,3,1,0,7,0,1
Kent Bazemore,pbp.2013,23,GSW,NBA,SG,9,16,21%,48%,31%,,,-42.1,-43.8,1,1,1,0,0,0,5,0,1
Kent Bazemore,pbp.2015,25,ATL,NBA,SG,16,303,1%,87%,12%,,,-5.4,-9.5,4,2,12,2,10,2,29,1,3
Kent Bazemore,pbp.2016,26,ATL,NBA,SF,10,325,,27%,73%,,,-7.1,-17.8,6,4,4,0,4,2,44,2,10
